row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row0,N,H3N,1.35,3.100379,0,0,4,1.299621,0,0,9.01,19.5532189089667,1,1,0,0,0,0,0,0,0,17.026549096,0,0,H3N,0,0,0,1,17.0305254685134,0,0
Row1,O=C(O)c1c(OC(=O)C)cccc1,C9H8O4,2.01,24.382344,6,6,21,12.577656,13,123,285.04,162.942474931045,3,1,3,12,0.5,5,0,63.6,4.70043971814109,180.042258736,1.422,60,C9H8O4,0,0,0,13,180.157768811976,0.0476190476190476,3
Row2,C#C,C2H2,1.68,4.853586,0,0,4,2.186414,1,2,7,37.8755105509334,0,0,2,2,0,0,0,0,1,26.015650064,0.418,2,C2H2,0,0,0,2,26.0373533012276,0,0
Row3,P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(c3nc2)N)[C@@H]([C@@H]1O)O)O)(OP(=O)(O)O)O,C10H16N5O13P3,0.25,55.084688,9,10,47,55.749312,33,768,1471.21,340.839602425996,17,7,8,13,0.466666666666667,15,3,308.56,6.04439411935845,506.995745462,-5.533,170,C10H16N5O13P3,0,0,0,31,507.181476012675,0.106382978723404,8
Row4,S1C([C@H](C(=O)O)N2[C@H]1[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)(C)C,C16H19N3O4S,2.34,50.237067,6,6,43,27.904933,26,481,1473.08,308.164295891812,7,3,4,6,0.5,8,0,138.03,5.70043971814109,349.109627088001,-1.732,132,C16H19N3O4S,0,0,0,24,349.406462995722,0.162790697674419,4
Row5,O=C1O[C@H]([C@@H](O)CO)C(=C1O)O,C6H8O6,1.46,20.706344,0,0,20,11.619656,12,109,268.06,147.444350556967,6,4,4,7,0.5,6,0,107.22,4.58496250072116,176.032087976,-0.178,58,C6H8O6,0,0,0,12,176.124370976751,0.15,2
Row6,O=C1OC([C@@H](O)CO)C(=C1O)O,C6H8O6,1.46,20.706344,0,0,20,11.619656,12,109,268.06,147.444350556967,6,4,4,7,0.5,6,0,107.22,4.58496250072116,176.032087976,-0.178,58,C6H8O6,0,0,0,12,176.124370976751,0.15,2
Row7,NC(Cc1ccccc1)C,C9H13N,2.34,25.608309,6,6,23,13.551691,10,92,439.01,144.051245738567,1,1,3,6,0.5,4,0,26.02,4.32192809488736,135.104799416,1.762,44,C9H13N,0,0,0,10,135.206556077863,0.130434782608696,2
Row8,O=C(OC)[C@@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1,C14H18N2O5,2.23,42.852274,6,6,39,24.467726,21,352,1101.07,277.569686476473,7,3,10,6,0.454545454545455,11,0,118.72,5.39231742277876,294.121571676,-0.0770000000000003,96,C14H18N2O5,0,0,0,21,294.303667175815,0.128205128205128,8
Row9,S1C([C@H](C(=O)O)N2[C@H]1[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)(C)C,C16H19N3O5S,2.23,51.039067,6,6,44,27.904933,27,537,1516.09,316.954522592374,7,4,4,7,0.461538461538462,9,0,158.26,5.75488750216347,365.104541708,-2.138,138,C16H19N3O5S,0,0,0,25,365.405867923291,0.159090909090909,4
